Raw,StoreCode,StoreName
"0919 PEP THOHOYANDOU ELLERINES SHOP 1 ELLERINES BUILDING, MPHEPHU STREET THOHOYANDOU THOHOYANDOU LIMPOPO",0919,PEP THOHOYANDOU
"0922 PEP SETSING PLAZA MAPOI STR SHOP 28 SETSING PLAZA , MAPOI STREET PHUTHADITJHABA PHUTHADITJHABA FREE STATE",0922,PEP SETSING
"0936 PEP ULUNDI ITHALA CENTRE SHOP 9 & 10 ITHALA CENTRE, C/O PRINCESS MAGOGO STREET KING DINIZULU STREET ULUNDI ULUNDI KWAZULU-NATAL",0936,PEP ULUNDI
"0938 PEP ENGCOBO SPAR CENTRE SHOP B ENGCOBO SPAR CENTRE, 190-192 HIGH STREET ENGCOBO ENGCOBO EASTERN CAPE",0938,PEP ENGCOBO
"0941 PEP UMZINTO SNIB CENTRE SHOP 2 SNIB CENTRE, 329 MAIN ROAD UMZINTO UMZINTO KWAZULU-NATAL",0941,PEP UMZINTO
"0955 PEP ASHTON SHOP, 1480 MAIN ROAD ASHTON ASHTON WESTERN CAPE",0955,PEP ASHTON
"0965 PEP BOTSHABELO RCM COMPLEX SHOP 9 RCM COMPLEX, C/O STRAND STREET RE-A-HOLA STREET BOTSHABELO BOTSHABELO FREE STATE",0965,PEP BOTSHABELO
"0971 PEP VRYHEID UTRECHT STREET SHOP 3 SHOPRITE CENTRE, 219 UTRECHT STREET VRYHEID VRYHEID KWAZULU-NATAL",0971,PEP VRYHEID
"0975 PEP PTA STATION SQUARE SHOP 8A, STATION SQUARE, CNR JEFF MASEMOLA STREET & BOSMAN STREET PRETORIA PRETORIA GAUTENG",0975,PEP PTA
"0995 PEP TEMBISA TEMBI MALL SHOP 18 TEMBI CENTRE, 232 IGQAGQA SECTION 1628 TEMBISA TEMBISA GAUTENG",0995,PEP TEMBISA
